student_id,subject,term,grade,teacher_comments
S001,Geography,2023 Term 1,B,Making steady progress.
S002,Agriculture,2023 Term 1,D,Excellent in class participation.
S003,Agriculture,2023 Term 1,B,Making steady progress.
S004,Commerce,2023 Term 1,C,Excellent in class participation.
S005,Shona,2023 Term 1,D,Needs to be more disciplined.
S006,Mathematics,2023 Term 1,D,Needs to be more disciplined.
S007,Shona,2023 Term 1,B,Struggling with the coursework.
S008,Science,2023 Term 1,B,Struggling with the coursework.
S009,Geography,2023 Term 1,C,"Good progress, but needs improvement in homework."
S010,Commerce,2023 Term 1,E,Making steady progress.
S011,Commerce,2023 Term 1,C,Struggling with the coursework.
S012,Geography,2023 Term 1,A,Making steady progress.
S013,Geography,2023 Term 1,E,Struggling with the coursework.
S014,Science,2023 Term 1,C,"Good progress, but needs improvement in homework."
S015,Geography,2023 Term 1,A,Struggling with the coursework.
S016,English,2023 Term 1,C,"Good progress, but needs improvement in homework."
S017,History,2023 Term 1,B,Excellent in class participation.
S018,Shona,2023 Term 1,E,"Good progress, but needs improvement in homework."
S019,English,2023 Term 1,E,"Good progress, but needs improvement in homework."
S020,English,2023 Term 1,B,"Good progress, but needs improvement in homework."
S021,Shona,2023 Term 1,D,Excellent in class participation.
S022,Shona,2023 Term 1,E,Excellent in class participation.
S023,Commerce,2023 Term 1,D,Needs to be more disciplined.
S024,Commerce,2023 Term 1,E,Excellent in class participation.
S025,Shona,2023 Term 1,E,"Good progress, but needs improvement in homework."
S026,Shona,2023 Term 1,D,"Good progress, but needs improvement in homework."
S027,Geography,2023 Term 1,A,Excellent in class participation.
S028,Science,2023 Term 1,B,Needs to be more disciplined.
S029,Geography,2023 Term 1,D,Struggling with the coursework.
S030,Shona,2023 Term 1,C,Excellent in class participation.
S031,English,2023 Term 1,B,Struggling with the coursework.
S032,Geography,2023 Term 1,E,Excellent in class participation.
S033,Mathematics,2023 Term 1,C,Needs to be more disciplined.
S034,History,2023 Term 1,A,Excellent in class participation.
S035,Shona,2023 Term 1,A,Needs to be more disciplined.
S036,Geography,2023 Term 1,C,Excellent in class participation.
S037,Shona,2023 Term 1,D,Excellent in class participation.
S038,Science,2023 Term 1,D,Struggling with the coursework.
S039,Science,2023 Term 1,A,Struggling with the coursework.
S040,English,2023 Term 1,C,Excellent in class participation.
S041,Science,2023 Term 1,C,Struggling with the coursework.
S042,Agriculture,2023 Term 1,D,"Good progress, but needs improvement in homework."
S043,Geography,2023 Term 1,E,Excellent in class participation.
S044,Commerce,2023 Term 1,D,Making steady progress.
S045,Shona,2023 Term 1,E,Making steady progress.
S046,Agriculture,2023 Term 1,A,Struggling with the coursework.
S047,Geography,2023 Term 1,D,Excellent in class participation.
S048,Science,2023 Term 1,E,Excellent in class participation.
S049,Science,2023 Term 1,B,Needs to be more disciplined.
S050,Mathematics,2023 Term 1,E,Making steady progress.
